store_page_domain,bounce_rate,total_single_page_viewers,total_visits
ifloortape.com,1.0,1,1
arthritissupplies.com,1.0,1,1
poetryinflowers.com.au,1.0,1,1
xrentdvd.com,1.0,1,1
ecoenclose.com,1.0,1,1
store.nike,1.0,1,1
usps.com?utm_source=rss&utm_medium=merchant,1.0,1,1
theoemshop.com,0.0,0,2
marineparts.com,1.0,1,1
posterburner.com,1.0,2,2
hostvoxeo.com,1.0,1,1
hoopladc.com,1.0,1,1
pendaflex.com,1.0,1,1
images/margy_assets/notification-close.png,1.0,1,1
doggiefood.com,1.0,4,4
no-crank.com,1.0,1,1
skype.com,1.0,1,1
mezzedesigns.com,1.0,1,1
pinstripesandpolkadots.com,1.0,3,3
imag-inations.com,1.0,1,1
mycatwalk.com,1.0,1,1
refresheverything.com,1.0,4,4
firestoreonline.com?utm_source=rss&utm_medium=tag,1.0,1,1
quiltinaday.com,1.0,1,1
www.pintwire.co.in,1.0,1,1
pampers.ca,1.0,1,1
hotslings.com,1.0,1,1
express.com?utm_source=newsletter&utm_medium=2011_04_08,1.0,1,1
learningexpress.com?utm_source=rss&utm_medium=merchant,1.0,1,1
eknazar.com,1.0,1,1
newark.com,1.0,1,1
littlefeetshoes.com,0.0,0,2
stores.magazinecafeny.com,1.0,1,1
petfood.com,1.0,1,1
308leapstatue.spcdartboards.com,1.0,2,2
thefedorastore.com,1.0,1,1
purebulk.com?utm_source=rss&utm_medium=merchant,1.0,1,1
pinupgirlclothing.com,1.0,4,4
jewelrydrama.com,1.0,1,1
hidextra.com,1.0,1,1
lagoonpark.com,1.0,3,3
tapety-sklep.pl,1.0,1,1
jeannebeatrice.com,1.0,1,1
playtech.co.nz,1.0,2,2
aaronbrothers.com?utm_source=rss&utm_medium=tag,1.0,1,1
sandboxthreads.com,1.0,1,1
aup.fr,1.0,1,1
6ave.com?utm_source=rss&utm_medium=merchant,1.0,1,1
shipmycontacts.com,1.0,4,4
lubestop.com,1.0,2,2
strawberrynet.com,0.6666666666666666,4,6
kellykettle.com,1.0,1,1
windowblindoutlet.com,1.0,1,1
fullsizedposters.com,1.0,1,1
ecresearchcorp.com,1.0,1,1
bjsbrewhouse.com,0.8888888888888888,16,18
aceticket.com,1.0,3,3
nature-card.com,1.0,1,1
importcds.com,1.0,2,2
wristbandconnection.com,1.0,2,2
costumediscounters.com?utm_source=rss&utm_medium=merchant,1.0,1,1
disneyworld.disney.blogendorsements.com,1.0,1,1
use-enco.com,1.0,2,2
